City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Tasiilaq,GL,2022-02-06 20:23:51,65.6145,-37.6368,23.16,60,100,41.07,overcast clouds
86,Norman Wells,CA,2022-02-06 20:23:51,65.282,-126.8329,-12.96,64,75,18.41,broken clouds
87,Bakong,CM,2022-02-06 20:23:52,5.0935,10.4852,69.26,23,25,1.72,scattered clouds
88,General Roca,AR,2022-02-06 20:23:52,-39.0333,-67.5833,88.2,14,1,9.55,clear sky
89,Sorland,NO,2022-02-06 20:23:52,67.667,12.6934,35.46,61,100,17.27,overcast clouds
90,Kruisfontein,ZA,2022-02-06 20:23:53,-34.0033,24.7314,74.88,57,100,10.94,overcast clouds
91,Ixtapa,MX,2022-02-06 20:23:53,20.7,-105.2,76.23,73,40,10.36,scattered clouds
92,Atuona,PF,2022-02-06 20:24:54,-9.8,-139.0333,78.69,73,1,19.01,clear sky
93,Leningradskiy,RU,2022-02-06 20:24:54,69.3833,178.4167,-22.86,98,28,6.69,scattered clouds
94,Upernavik,GL,2022-02-06 20:20:21,72.7868,-56.1549,-13.32,98,100,8.5,overcast clouds
95,Port Elizabeth,ZA,2022-02-06 20:24:55,-33.918,25.5701,77.09,78,0,12.66,clear sky
96,Yenagoa,NG,2022-02-06 20:24:56,4.9247,6.2642,80.91,67,0,6.29,clear sky
97,Mahebourg,MU,2022-02-06 20:21:59,-20.4081,57.7,79.25,83,75,6.91,broken clouds
98,Egvekinot,RU,2022-02-06 20:24:56,66.3167,-179.1667,-13.95,82,1,7.76,clear sky
99,Caraballeda,VE,2022-02-06 20:24:57,10.6112,-66.8522,89.67,58,75,5.75,broken clouds
100,Huntington,US,2022-02-06 20:24:57,38.4193,-82.4452,48.54,48,0,4.0,clear sky
101,Urengoy,RU,2022-02-06 20:24:58,65.9667,78.3667,-25.56,100,93,3.87,overcast clouds
102,Longyearbyen,SJ,2022-02-06 20:24:58,78.2186,15.6401,21.04,53,20,11.5,few clouds
103,Oranjemund,NA,2022-02-06 20:25:00,-28.55,16.4333,66.83,72,46,5.12,scattered clouds
104,Kapaa,US,2022-02-06 20:23:26,22.0752,-159.319,77.32,76,75,1.01,broken clouds
