City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Nueve De Julio,AR,70.72,scattered clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
295,Olafsvik,IS,28.15,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
296,Surab,PK,46.38,few clouds,28.4914,66.2585,Bismillah Hotel
298,Cancun,MX,78.73,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
299,Stary Sacz,PL,41.83,overcast clouds,49.5636,20.635,Pokoje gościnne Brzezna
300,Mogadishu,SO,76.8,broken clouds,2.0371,45.3438,Hotel Juba
301,Hasaki,JP,27.0,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
302,Santa Cruz De La Palma,ES,68.14,scattered clouds,28.6835,-17.7642,H10 Taburiente Playa
304,Damietta,EG,57.09,clear sky,31.4165,31.8133,SULIMAN INN
305,Mackenzie,CA,39.42,few clouds,55.2999,-123.1698,Hilton Shop
307,Hanyang,CN,32.25,broken clouds,32.1371,105.5126,Forestry Hostel
308,Daru,PG,78.31,overcast clouds,-9.0763,143.2092,Daru Lodge
309,Klaksvik,FO,34.72,overcast clouds,62.2266,-6.589,Airbnb rooms
310,Santa Isabel Do Rio Negro,BR,80.2,moderate rain,-0.4139,-65.0192,Hotel GSA
312,Komsomolsk,UA,29.14,broken clouds,49.0097,33.6455,Гостинница Славутич
313,Ornes,NO,30.31,overcast clouds,66.8689,13.7078,Ørnes Hotell AS
316,Margate,GB,47.91,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
317,Dzilam Gonzalez,MX,76.41,broken clouds,21.2833,-88.9333,posadas
318,Panalingaan,PH,77.05,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
319,Bowling Green,US,50.11,clear sky,36.9903,-86.4436,Hilton Garden Inn Bowling Green
320,Junagarh,IN,58.06,broken clouds,19.8667,82.9333,Hotel Swagat
321,Jalu,LY,59.56,scattered clouds,29.0331,21.5482,صاحبة الفخامة
323,Shanghai,CN,42.67,light rain,31.2222,121.4581,Swissotel Grand Shanghai
324,Orumiyeh,IR,24.35,clear sky,37.5527,45.0761,Urmia Kimia Mah Hotel
325,Road Town,VG,75.29,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
326,Broome,US,31.01,clear sky,42.2506,-75.833,Chenango Valley State Park
327,Lebedyn,UA,26.29,overcast clouds,50.5852,34.4849,"The regional Children's multi-resort ""Lebedin"""
329,Guerrero Negro,MX,68.76,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
331,Changde,CN,32.16,snow,29.0464,111.6783,Kangshida Hotel
332,Jaguey Grande,CU,81.25,broken clouds,22.5269,-81.1286,Hostal lleana
334,Banda Aceh,ID,76.39,light rain,5.5577,95.3222,Sulthan Hotel International
335,Timbiqui,CO,78.69,moderate rain,2.7717,-77.6654,hotel diana
337,Vardo,NO,26.58,broken clouds,70.3705,31.1107,Vardø Hotel AS
338,Villazon,BO,58.44,scattered clouds,-22.0866,-65.5942,La Candelaria
340,Zhangjiakou,CN,13.55,light snow,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
342,Gigmoto,PH,77.09,overcast clouds,13.7796,124.39,Cj's Travellers Inn
343,Ancud,CL,75.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
344,Mataram,ID,76.01,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
345,Itarema,BR,80.58,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
346,Pringsewu,ID,71.82,overcast clouds,-5.3582,104.9744,Urban Style by Front One
347,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,Bushido Lodge
348,Rio Grande,BR,78.91,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
350,Lompoc,US,77.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
351,Roma,US,31.86,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
352,Varna,BG,40.44,clear sky,43.2167,27.9167,Hotel Gran Ivan
353,Onega,RU,10.99,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
354,Filadelfia,US,38.44,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
355,Campbellton,CA,10.85,overcast clouds,48.0075,-66.6727,Super 8 by Wyndham Campbellton NB
357,Shahrud,IR,30.18,few clouds,36.4182,54.9763,Royal Hotel
358,Kapuskasing,CA,15.89,overcast clouds,49.4169,-82.4331,Park Inn Motel
359,Santa Marta,CO,94.33,few clouds,11.2408,-74.199,Casa de Isabella
360,Kushiro,JP,18.05,few clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
362,Mabaruma,GY,75.88,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
363,North Bend,US,62.85,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
365,Talmenka,RU,13.44,broken clouds,53.8183,83.5677,Taverna U Dyadi Viti
367,Batemans Bay,AU,64.09,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
369,Severo-Kurilsk,RU,29.71,light snow,50.6789,156.125,Kak Doma
370,Husavik,IS,24.71,overcast clouds,66.0449,-17.3389,Bjarnabúð
371,Malanje,AO,64.35,overcast clouds,-9.5402,16.341,Hotel Ginga
372,Paraopeba,BR,76.55,overcast clouds,-19.2757,-44.4033,HC Hotel Paraopeba
373,Sesori,SV,91.76,broken clouds,13.7167,-88.3667,Acuático El Chagüite Park
374,Zhezkazgan,KZ,26.04,snow,47.8043,67.7144,Hotel Zumrat
375,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
378,Karlskoga,SE,34.92,scattered clouds,59.3267,14.5239,Hotel Alfred Nobel
379,Ugoofaaru,MV,80.64,broken clouds,5.6667,73.0,Ungoofaaru Inn
380,Kununurra,AU,75.18,light rain,-15.7667,128.7333,Hotel Kununurra
382,Labuhan,ID,77.36,overcast clouds,-6.8844,112.2051,DoubleFAG
383,Buchanan,LR,78.76,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
386,Pontianak,ID,73.38,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
387,Puerto Lopez,CO,95.45,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
388,Caravelas,BR,79.0,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
389,Sistranda,NO,37.9,moderate rain,63.7256,8.834,Hotell Frøya
391,Kulhudhuffushi,MV,80.11,broken clouds,6.6221,73.07,Haajy Guest House 1
392,Nichinan,JP,34.75,overcast clouds,31.6,131.3667,Guest House Aki
393,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
394,Kostomuksha,RU,22.1,light snow,64.571,30.5767,U Mikhailicha
395,Cortez,US,43.56,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
396,Navolato,MX,78.64,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
397,Mecca,SA,67.37,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
