City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Nantucket,US,2022-02-03 23:56:36,41.2835,-70.0995,47.03,100,100,10.36
278,Chirongui,YT,2022-02-04 00:00:20,-12.9319,45.1483,82.33,77,100,10.78
279,Hobyo,SO,2022-02-04 00:00:21,5.3505,48.5268,75.27,76,47,16.49
280,Sorland,NO,2022-02-04 00:00:24,67.667,12.6934,26.44,68,100,37.51
281,Mitsamiouli,KM,2022-02-04 00:00:26,-11.3847,43.2844,82.09,76,99,9.86
282,Meulaboh,ID,2022-02-03 23:57:05,4.1363,96.1285,74.84,88,93,4.05
283,Benguela,AO,2022-02-04 00:00:27,-12.5763,13.4055,74.64,74,75,1.54
284,Nacala,MZ,2022-02-04 00:00:29,-14.5428,40.6728,76.64,87,74,3.44
285,Geraldton,AU,2022-02-04 00:00:29,-28.7667,114.6,91.81,14,0,19.57
286,Skibbereen,IE,2022-02-04 00:00:31,51.55,-9.2667,43.11,88,100,12.08
287,Baykit,RU,2022-02-04 00:00:32,61.67,96.37,15.44,96,100,4.21
288,Ardakan,IR,2022-02-04 00:00:32,32.31,54.0175,47.82,27,1,6.04
289,Hauterive,FR,2022-02-03 23:56:30,46.0901,3.4459,40.78,92,18,1.16
290,Tevriz,RU,2022-02-04 00:00:33,57.509,72.4042,22.68,93,100,13.11
291,Baixa Grande,BR,2022-02-04 00:00:34,-11.9597,-40.1681,77.58,68,77,8.34
292,Olafsvik,IS,2022-02-04 00:00:35,64.8945,-23.7142,27.34,70,95,30.87
293,Rairangpur,IN,2022-02-04 00:00:35,22.2676,86.1751,62.71,91,2,4.05
294,Chapais,CA,2022-02-03 23:57:01,49.7834,-74.8492,-15.02,98,94,2.53
